//Fill Tile
Fill:17
//Layer,TileID,X,Y
1,17,3,1
0,22,2,7
0,23,2,6
0,23,2,4
0,23,2,3
0,23,2,2
0,23,2,1
0,23,2,0
0,23,2,-1
0,25,-2,-2
0,25,-3,-2
0,25,-4,-2
0,25,-5,-2
0,25,-6,-2
0,25,-7,-2
0,25,-8,-2
0,26,-11,-2
0,18,-12,-2
0,19,-12,-1
0,19,-12,2
0,19,-12,3
0,19,-12,4
0,19,-12,5
0,20,-12,7
0,19,-12,6
0,26,-10,-3
0,26,-9,-4
0,26,-8,-5
0,26,0,-3
0,26,-1,-4
0,26,-2,-5
0,26,-3,-6
0,26,-4,-7
0,26,-7,-6
0,26,-6,-7
0,18,-11,-3
0,18,-10,-4
0,18,-9,-5
0,18,-8,-6
0,18,-7,-7
0,24,-3,-7
0,24,-2,-6
0,24,-1,-5
0,24,0,-4
0,24,1,-3
0,24,-4,-8
0,18,-6,-8
0,21,-11,7
0,21,-3,7
0,21,-4,7
0,21,-5,7
0,21,-6,7
0,19,-12,1
0,19,-12,0
0,21,-10,7
0,21,-7,7
0,21,-2,7
0,21,1,7
0,21,0,7
0,21,-8,7
0,23,2,5
0,16,-5,6
0,16,-4,5
0,16,-5,4
0,16,-4,3
0,16,-4,1
0,16,-5,0
0,16,-4,-1
0,16,-3,4
0,16,-1,5
0,16,0,4
0,16,1,6
0,16,-3,6
0,16,-6,5
0,16,-8,5
0,16,-7,3
0,16,-7,4
0,16,-8,2
0,16,-9,3
0,16,-11,2
0,16,-10,4
0,16,-10,1
0,16,-6,1
0,16,-2,2
0,16,0,3
0,16,-1,2
0,16,1,3
0,16,-2,0
0,16,-7,-1
0,26,0,-2
0,16,-2,-1
0,16,-1,0
0,16,0,0
0,16,1,1
0,16,-5,2
0,16,-4,2
0,16,-5,3
0,24,2,-2
0,26,1,-2
0,23,9,8
0,23,9,9
0,23,9,10
0,22,9,11
0,21,7,11
0,21,8,11
0,21,6,11
0,21,4,11
0,21,5,11
0,21,2,11
0,21,3,11
0,21,1,11
0,21,-1,11
0,21,0,11
0,21,-2,11
0,21,-3,11
0,21,-4,11
0,21,-5,11
0,21,-6,11
0,21,-7,11
0,21,-8,11
0,21,-9,11
0,21,-10,11
0,21,-11,11
0,21,-12,11
0,21,-13,11
0,21,-14,11
0,21,-15,11
0,20,-16,11
0,19,-16,10
0,19,-16,9
0,19,-16,8
0,18,-16,7
0,25,-15,7
0,25,-14,7
0,25,-13,7
0,25,3,7
0,25,4,7
0,25,5,7
0,25,6,7
0,25,7,7
0,25,8,7
0,24,9,7
